FL_DATE,AIRLINE,AIRLINE_CODE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
6/11/2019,Southwest Airlines Co.,WN,"Jacksonville, FL","Nashville, TN",600,802.0,122.0,8.0,810.0,819.0,4.0,640,823.0,103.0,100.0,81.0,69.0,483,103.0,0.0,0.0,0.0,0.0,2
23/2/2019,Delta Air Lines Inc.,DL,"Boston, MA","New York, NY",1130,1602.0,272.0,20.0,1622.0,1712.0,4.0,1251,1716.0,265.0,81.0,74.0,50.0,184,265.0,0.0,0.0,0.0,0.0,2
9/2/2019,Delta Air Lines Inc.,DL,"San Francisco, CA","Los Angeles, CA",845,1802.0,557.0,41.0,1843.0,1938.0,6.0,1014,1944.0,570.0,89.0,102.0,55.0,337,0.0,0.0,570.0,0.0,0.0,2
17/1/2022,PSA Airlines Inc.,OH,"Philadelphia, PA","Cleveland, OH",1530,1524.0,-6.0,49.0,1613.0,1715.0,60.0,1704,1815.0,71.0,94.0,171.0,62.0,363,0.0,0.0,71.0,0.0,0.0,2
7/8/2022,Southwest Airlines Co.,WN,"Austin, TX","Chicago, IL",845,1103.0,138.0,11.0,1114.0,1330.0,4.0,1115,1334.0,139.0,150.0,151.0,136.0,972,0.0,0.0,137.0,0.0,2.0,2
11/11/2021,American Airlines Inc.,AA,"Dallas/Fort Worth, TX","New Orleans, LA",2053,2209.0,76.0,14.0,2223.0,2326.0,8.0,2221,2334.0,73.0,88.0,85.0,63.0,447,26.0,0.0,0.0,0.0,47.0,2
16/4/2021,SkyWest Airlines Inc.,OO,"Baton Rouge, LA","Dallas/Fort Worth, TX",934,1054.0,80.0,11.0,1105.0,1247.0,13.0,1116,1300.0,104.0,102.0,126.0,102.0,383,0.0,104.0,0.0,0.0,0.0,2
30/12/2021,JetBlue Airways,B6,"Tampa, FL","Providence, RI",1935,2225.0,170.0,12.0,2237.0,55.0,4.0,2226,59.0,153.0,171.0,154.0,138.0,1136,153.0,0.0,0.0,0.0,0.0,2
5/8/2023,United Air Lines Inc.,UA,"Denver, CO","Ontario, CA",1116,1412.0,176.0,13.0,1425.0,1521.0,5.0,1235,1526.0,171.0,139.0,134.0,116.0,819,150.0,0.0,0.0,0.0,21.0,2
15/4/2019,ExpressJet Airlines LLC d/b/a aha!,EV,"Columbus, OH","Newark, NJ",1726,1846.0,80.0,18.0,1904.0,2018.0,9.0,1924,2027.0,63.0,118.0,101.0,74.0,463,0.0,0.0,63.0,0.0,0.0,2
18/8/2019,Mesa Airlines Inc.,YV,"Sioux Falls, SD","Phoenix, AZ",1820,2046.0,146.0,14.0,2100.0,2125.0,4.0,1914,2129.0,135.0,174.0,163.0,145.0,1081,0.0,0.0,0.0,0.0,135.0,2
14/12/2019,SkyWest Airlines Inc.,OO,"Chicago, IL","South Bend, IN",1940,2134.0,114.0,41.0,2215.0,2344.0,10.0,2138,2354.0,136.0,58.0,80.0,29.0,84,0.0,0.0,22.0,0.0,114.0,2
14/8/2023,Southwest Airlines Co.,WN,"Chicago, IL","Atlanta, GA",1655,2106.0,251.0,20.0,2126.0,2351.0,5.0,1950,2356.0,246.0,115.0,110.0,85.0,591,0.0,0.0,139.0,0.0,107.0,2
26/12/2019,American Airlines Inc.,AA,"Dallas/Fort Worth, TX","Denver, CO",1224,1451.0,147.0,16.0,1507.0,1539.0,5.0,1333,1544.0,131.0,129.0,113.0,92.0,641,0.0,0.0,0.0,0.0,131.0,2
31/12/2019,Southwest Airlines Co.,WN,"Reno, NV","Las Vegas, NV",940,1203.0,143.0,8.0,1211.0,1305.0,8.0,1055,1313.0,138.0,75.0,70.0,54.0,345,12.0,0.0,0.0,0.0,126.0,2
2/8/2022,Southwest Airlines Co.,WN,"Baltimore, MD","West Palm Beach/Palm Beach, FL",2000,2213.0,133.0,9.0,2222.0,14.0,3.0,2230,17.0,107.0,150.0,124.0,112.0,883,20.0,0.0,0.0,0.0,87.0,2
29/12/2022,American Airlines Inc.,AA,"Orlando, FL","Philadelphia, PA",1734,1919.0,105.0,18.0,1937.0,2131.0,4.0,1958,2135.0,97.0,144.0,136.0,114.0,861,0.0,0.0,0.0,0.0,97.0,2
