FL_DATE,AIRLINE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
31/8/2023,Spirit Air Lines,"Dallas/Fort Worth, TX","Fort Lauderdale, FL",728,958,150,18,1016,1344,8,1125,1352,147,177,174,148,1119,147,0,0,0,0,2
31/8/2023,Alaska Airlines Inc.,"Denver, CO","Seattle, WA",1750,1742,-8,26,1808,1922,6,1949,1928,-21,179,166,134,1024,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Boston, MA","Atlanta, GA",600,559,-1,15,614,838,14,850,852,2,170,173,144,946,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Charlotte, NC","Chicago, IL",1727,1726,-1,16,1742,1812,22,1850,1834,-16,143,128,90,599,0,0,0,0,0,0
31/8/2023,Spirit Air Lines,"Atlanta, GA","Fort Lauderdale, FL",520,519,-1,12,531,656,19,713,715,2,113,116,85,581,0,0,0,0,0,0
31/8/2023,Endeavor Air Inc.,"Atlanta, GA","Knoxville, TN",1840,1835,-5,18,1853,1925,6,1939,1931,-8,59,56,32,152,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Kalispell, MT","Dallas/Fort Worth, TX",1332,1241,1389,17,1258,1654,12,1804,1706,1382,212,205,176,1390,0,0,0,0,1382,2
31/8/2023,Southwest Airlines Co.,"Denver, CO","Sacramento, CA",1530,1542,12,20,1602,1707,4,1655,1711,16,145,149,125,909,12,0,4,0,0,1
31/8/2023,PSA Airlines Inc.,"Washington, DC","Buffalo, NY",1024,1027,3,81,1148,1236,5,1201,1241,40,97,134,48,296,3,0,37,0,0,1
31/8/2023,United Air Lines Inc.,"Los Angeles, CA","Chicago, IL",2332,2325,-7,15,2340,507,8,538,515,-23,246,230,207,1744,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","Boston, MA",2225,2336,71,10,2346,42,7,2350,49,59,85,73,56,369,0,0,0,0,59,1
31/8/2023,JetBlue Airways,"Boston, MA","Cleveland, OH",1505,1453,-12,10,1503,1632,9,1705,1641,-24,120,108,89,563,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Houston, TX","Newark, NJ",1645,1647,2,22,1709,2050,11,2130,2101,-29,225,194,161,1400,0,0,0,0,0,0
31/8/2023,Spirit Air Lines,"Salt Lake City, UT","Orlando, FL",600,607,7,13,620,1216,8,1220,1224,4,260,257,236,1931,0,0,0,0,0,0
31/8/2023,Envoy Air,"Evansville, IN","Dallas/Fort Worth, TX",1601,1604,3,11,1615,1747,17,1810,1804,-6,129,120,92,642,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Bozeman, MT","Salt Lake City, UT",1859,1850,-9,14,1904,2005,7,2015,2012,-3,76,82,61,347,0,0,0,0,0,0
31/8/2023,Alaska Airlines Inc.,"Juneau, AK","Seattle, WA",1255,1342,47,12,1354,1643,9,1618,1652,34,143,130,109,909,0,0,0,0,34,1
31/8/2023,Southwest Airlines Co.,"Las Vegas, NV","Tucson, AZ",915,910,-5,21,931,1025,4,1035,1029,-6,80,79,54,365,0,0,0,0,0,0
31/8/2023,Republic Airline,"New York, NY","Greensboro/High Point, NC",1610,1603,-7,30,1633,1747,7,1805,1754,-11,115,111,74,461,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"St. Louis, MO","Kansas City, MO",830,824,-6,14,838,919,4,930,923,-7,60,59,41,237,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Raleigh/Durham, NC","Baltimore, MD",1325,1400,35,10,1410,1455,4,1430,1459,29,65,59,45,255,23,0,0,0,6,1
31/8/2023,SkyWest Airlines Inc.,"Chicago, IL","Lincoln, NE",1245,1240,-5,19,1259,1409,5,1428,1414,-14,103,94,70,466,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Dallas/Fort Worth, TX","Austin, TX",1250,1245,-5,19,1304,1339,22,1406,1401,-5,76,76,35,190,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Santa Ana, CA","Houston, TX",1203,1154,-9,8,1202,1649,5,1724,1654,-30,201,180,167,1346,0,0,0,0,0,0
31/8/2023,PSA Airlines Inc.,"Birmingham, AL","Dallas/Fort Worth, TX",640,636,-4,12,648,814,12,856,826,-30,136,110,86,597,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Los Angeles, CA","Tucson, AZ",1924,1930,6,19,1949,2109,3,2058,2112,14,94,102,80,451,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Austin, TX","Chicago, IL",805,758,-7,13,811,1021,21,1045,1042,-3,160,164,130,977,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Fresno, CA","San Francisco, CA",1612,1603,-9,24,1627,1709,9,1715,1718,3,63,75,42,158,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","Sarasota/Bradenton, FL",845,849,4,19,908,1115,3,1115,1118,3,150,149,127,880,0,0,0,0,0,0
31/8/2023,PSA Airlines Inc.,"Shreveport, LA","Charlotte, NC",1355,1349,-6,14,1403,1641,18,1714,1659,-15,139,130,98,764,0,0,0,0,0,0
31/8/2023,Envoy Air,"Dallas/Fort Worth, TX","Columbia, MO",1559,1558,-1,15,1613,1726,4,1738,1730,-8,99,92,73,490,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Chicago, IL","Indianapolis, IN",1035,1033,-2,24,1057,1231,4,1243,1235,-8,68,62,34,177,0,0,0,0,0,0
31/8/2023,PSA Airlines Inc.,"Memphis, TN","Philadelphia, PA",1042,1040,-2,17,1057,1350,10,1410,1400,-10,148,140,113,875,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Phoenix, AZ","Indianapolis, IN",1538,1531,-7,15,1546,2147,3,2208,2150,-18,210,199,181,1488,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Charleston, SC","Houston, TX",1706,1656,-10,9,1705,1816,21,1840,1837,-3,154,161,131,925,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Dallas/Fort Worth, TX","Denver, CO",1012,1013,1,20,1033,1102,9,1127,1111,-16,135,118,89,641,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"South Bend, IN","Dallas/Fort Worth, TX",735,726,-9,14,740,830,13,913,843,-30,158,137,110,846,0,0,0,0,0,0
31/8/2023,Republic Airline,"Washington, DC","Louisville, KY",1953,1947,-6,38,2025,2135,9,2150,2144,-6,117,117,70,474,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Atlanta, GA","Fort Lauderdale, FL",850,849,-1,11,900,1026,5,1045,1031,-14,115,102,86,581,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",1948,1954,6,17,2011,2328,6,2340,2334,-6,172,160,137,1102,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Atlanta, GA","Nashville, TN",1538,1744,126,15,1759,1736,6,1550,1742,112,72,58,37,214,112,0,0,0,0,2
31/8/2023,Delta Air Lines Inc.,"Minneapolis, MN","Orlando, FL",1950,2022,32,20,2042,22,8,6,30,24,196,188,160,1310,0,0,0,0,24,1
